[2026-06-20T00:57:14.582Z] GET https://pubmed.ncbi.nlm.nih.gov/42319824/ → pending (?ms, ?B)
[2026-06-20T00:57:57.199Z] GET https://smetrics.elsevier.com/b/ss/elsevier-global-prod/1/JS-2.17.0-LDQM/s26193468843764?AQB=1&ndh=1&pf=1&t=20%2F5%2F2026%208%3A57%3A57%206%20-480&mid=25433587864339057864356198545075339495&aamlh=11&ce=UTF-8&cdp=2&pageName=ih%3Aauto%20article%20locator&g=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X&cc=USD&ch=ih%3Aauto%20article%20locator&server=linkinghub.elsevier.com&events=event27%2Cevent41%2Cevent229%3D0%2Cevent230&products=%3Bih%3Aarticle%3APII%3AS221112472600639X%3B%3B%3B%3Bevar17%3Dmime-xhtml%7Cevar20%3Dih%3Aarticle%7Cevar75%3Dmicroglial%20clonal%20dynamics%20and%20the%20impact%20of%20clonal%20hematopoiesis%20in%20autologously%20transplanted%20rhesus%20macaques%7Cevar104%3Dih%3Aundefined_to_com%252fcell-reports%252fretrieve%252fpii%252fs221112472600639x%253f_returnurl%253dhttps%25253a%25252f%25252flinkinghubelsevier&aamb=RKhpRz8krg2tLO6pguXWp5olkAcUniQYPHaMWWgdJ3xzPWQmdj0y&h1=D%3DpageName&c2=ih&v4=D%3Dc2&c5=8%3A30%20PM%20Friday&v5=D%3Dc5&v8=First%20Visit&c9=2.17.0&v9=D%3Dc16&v10=D%3Dc18&v11=D%3DpageName&c14=0&c16=els%3Arp%3Ast&c18=linkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X&c24=en&c30=114.84.78.193&c32=https&v33=ih%3Aanon_guest&c35=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X&c37=D%3Dv33&c38=2&c39=ihub&v50=25433587864339057864356198545075339495&c66=v1%7Cdtm4%7Cdv10&v66=%2B1&v67=%2B1&c69=e27%2Ce41%2Ce229%2Ce230&v101=D%3Dg&v113=75477&v126=prod&v186=Mozilla%2F5.0%20%28Macintosh%3B%20Intel%20Mac%20OS%20X%2010_15_7%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20HeadlessChrome%2F145.0.7632.6%20Safari%2F537.36&s=1280x720&c=24&j=1.6&v=N&k=Y&bw=1280&bh=720&mcorgid=4D6368F454EC41940A4C98A6%40AdobeOrg&AQE=1 → pending (?ms, ?B)
[2026-06-20T00:57:57.634Z] GET https://linkinghub.elsevier.com/retrieve/articleSelectPrefsTemp?Redirect=https%3A%2F%2Fcell.com%2Fcell-reports%2Fretrieve%2Fpii%2FS221112472600639X%3F_returnURL%3Dhttps%253A%252F%252Flinkinghub.elsevier.com%252Fretrieve%252Fpii%252FS221112472600639X%253Fshowall%253Dtrue&key=9a70d546f07c89f70a21b0d29ad2dc5c17c4ebcf → 302 (212ms, ?B)
[2026-06-20T00:57:57.846Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → 403 (181ms, 6833B)
[2026-06-20T00:57:58.098Z] GET https://cell.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0e6d28a2e43dbff → pending (?ms, ?B)
[2026-06-20T00:57:58.649Z] GET blob:https://cell.com/54dabd53-3284-4124-960b-35b20e075ab7 → pending (?ms, ?B)
[2026-06-20T00:57:58.669Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js?onload=NsqWi3&render=explicit → 200 (30ms, 67081B)
[2026-06-20T00:57:58.799Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d28a2e43dbff/9TB5ECEWmAEUl2kluTlfhPgz.HT0G3yRJzkFW6LTwZo-1781917078-1.2.1.1-1wIGc02rTYxujYuOEG9MrRIX4twlTbUXE5fD5RJ2ehp_ycxOFJGXnGJfjRebxbeo → 200 (185ms, 18616B)
[2026-06-20T00:57:58.993Z] GET blob:https://cell.com/e46471ad-20ad-482b-b40e-f0bfa460826b → 200 (13ms, 291B)
[2026-06-20T00:57:59.005Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/lehbe/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (185ms, ?B)
[2026-06-20T00:57:59.260Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → 200 (183ms, 86B)
[2026-06-20T00:57:59.404Z] GET blob:https://challenges.cloudflare.com/ca1511c2-8891-40c2-b144-851aae45f649 → pending (?ms, ?B)
[2026-06-20T00:57:59.580Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d2915912df0a/_.u3XVdostmLrjfVhuEmWO_jQpZIihD6..yg9_mS1Bc-1781917079-1.2.1.1-oiasaLkiYWp8geNxy0WHw1NE3p2aXBeZ_5WT1m7aIw6TClmf7FlgUneGbfFdT3Gl → 200 (297ms, ?B)
[2026-06-20T00:58:00.445Z] GET blob:https://challenges.cloudflare.com/bccfa8b5-622c-478b-b5e7-06a055bbebb8 → 200 (13ms, 291B)
[2026-06-20T00:58:00.662Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6d2915912df0a/1781917079833/6e0249bfd222f68c658d193c47cfc8eaffe285be540fdcf36726457a3454ef4c/Ob9zxC6cgbEjhS5 → 401 (210ms, 1B)
[2026-06-20T00:58:00.898Z] GET blob:https://challenges.cloudflare.com/bccfa8b5-622c-478b-b5e7-06a055bbebb8 → 200 (6ms, 291B)
[2026-06-20T00:58:01.087Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a0e6d2915912df0a/1781917079834/LeR8ebLWEFMyeh6 → pending (?ms, ?B)
[2026-06-20T00:58:01.680Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d2915912df0a/_.u3XVdostmLrjfVhuEmWO_jQpZIihD6..yg9_mS1Bc-1781917079-1.2.1.1-oiasaLkiYWp8geNxy0WHw1NE3p2aXBeZ_5WT1m7aIw6TClmf7FlgUneGbfFdT3Gl → 200 (262ms, 33656B)
[2026-06-20T00:58:01.950Z] GET blob:https://challenges.cloudflare.com/eb7dc9c9-fb5b-470d-a3b9-6b47d84fd607 → 200 (7ms, 291B)
[2026-06-20T01:00:01.980Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d28a2e43dbff/9TB5ECEWmAEUl2kluTlfhPgz.HT0G3yRJzkFW6LTwZo-1781917078-1.2.1.1-1wIGc02rTYxujYuOEG9MrRIX4twlTbUXE5fD5RJ2ehp_ycxOFJGXnGJfjRebxbeo → 400 (188ms, 121B)
[2026-06-20T01:00:02.174Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/b/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d28a2e43dbff/9TB5ECEWmAEUl2kluTlfhPgz.HT0G3yRJzkFW6LTwZo-1781917078-1.2.1.1-1wIGc02rTYxujYuOEG9MrRIX4twlTbUXE5fD5RJ2ehp_ycxOFJGXnGJfjRebxbeo/managed → pending (?ms, ?B)
[2026-06-20T01:00:04.175Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → pending (?ms, ?B)
[2026-06-20T01:00:04.356Z] GET https://cell.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0e6d59f99a6eb2d → pending (?ms, ?B)
[2026-06-20T01:00:05.664Z] GET blob:https://cell.com/5da5a855-f14e-43b7-9c66-811ffbed129e → pending (?ms, ?B)
[2026-06-20T01:00:05.682Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js?onload=NsqWi3&render=explicit → 200 (1ms, 67081B)
[2026-06-20T01:00:05.823Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d59f99a6eb2d/GAEkzBsopO8zUn4C7_vcrE.f6O6t1x77cK1lDiMjvRs-1781917204-1.2.1.1-0ykjJOqinC8tcC1gKdIcx3QgMPvPOAv4r2iXPA7FSMeY5aoDvC6TJIuM2hFkuJnx → 200 (184ms, 18616B)
[2026-06-20T01:00:06.272Z] GET blob:https://cell.com/a3886abc-291e-41e2-bf49-779618777b0c → 200 (10ms, 291B)
[2026-06-20T01:00:06.279Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/58g18/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → pending (?ms, ?B)
[2026-06-20T01:00:06.496Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → pending (?ms, ?B)
[2026-06-20T01:00:08.131Z] GET blob:https://challenges.cloudflare.com/59abd4e7-eedf-46e4-8d1d-884813d4b0f4 → pending (?ms, ?B)
[2026-06-20T01:00:08.299Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d5acdbfa7e21/dJc31j1lTwNySQiOkjXx_p0qMygRj5AfE6lwv3zfeQk-1781917206-1.2.1.1-0lgxKWFqxWwViih7Rb9TEI8PHZFtOFELXcE4ORWbUmXJKDIs6w8EqD6fRlEYau26 → 200 (364ms, ?B)
[2026-06-20T01:00:12.810Z] GET blob:https://challenges.cloudflare.com/dfa83a9d-c3c7-4289-acc0-e845f83bb993 → 200 (64ms, 291B)
[2026-06-20T01:00:13.074Z] GET blob:https://challenges.cloudflare.com/dfa83a9d-c3c7-4289-acc0-e845f83bb993 → 200 (5ms, 291B)
[2026-06-20T01:00:13.364Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a0e6d5acdbfa7e21/1781917208562/T30BtSyI1dbPwf1 → 200 (171ms, 4211B)
[2026-06-20T01:00:13.556Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6d5acdbfa7e21/1781917208563/80eca85e14da44d3847874a83cbc61f5848c3b6515e886a7ca536aee12354c8b/oiNjMq8_L_aBCZh → 401 (179ms, 1B)
[2026-06-20T01:00:13.993Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d5acdbfa7e21/dJc31j1lTwNySQiOkjXx_p0qMygRj5AfE6lwv3zfeQk-1781917206-1.2.1.1-0lgxKWFqxWwViih7Rb9TEI8PHZFtOFELXcE4ORWbUmXJKDIs6w8EqD6fRlEYau26 → pending (?ms, ?B)
[2026-06-20T01:00:14.658Z] GET blob:https://challenges.cloudflare.com/99e5558d-9989-40ee-b2f3-2d7af14014b7 → 200 (8ms, 291B)
[2026-06-20T01:02:14.687Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d59f99a6eb2d/GAEkzBsopO8zUn4C7_vcrE.f6O6t1x77cK1lDiMjvRs-1781917204-1.2.1.1-0ykjJOqinC8tcC1gKdIcx3QgMPvPOAv4r2iXPA7FSMeY5aoDvC6TJIuM2hFkuJnx → 400 (194ms, 121B)
[2026-06-20T01:02:14.886Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/b/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d59f99a6eb2d/GAEkzBsopO8zUn4C7_vcrE.f6O6t1x77cK1lDiMjvRs-1781917204-1.2.1.1-0ykjJOqinC8tcC1gKdIcx3QgMPvPOAv4r2iXPA7FSMeY5aoDvC6TJIuM2hFkuJnx/managed → 200 (167ms, 2B)
[2026-06-20T01:02:18.889Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → 403 (160ms, 6940B)
[2026-06-20T01:02:19.057Z] GET https://cell.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0e6d8e98bef053e → pending (?ms, ?B)
[2026-06-20T01:02:19.670Z] GET blob:https://cell.com/25f17b54-58d7-4024-8ae5-567941f89fd4 → pending (?ms, ?B)
[2026-06-20T01:02:19.686Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js?onload=NsqWi3&render=explicit → 200 (2ms, 67081B)
[2026-06-20T01:02:19.825Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d8e98bef053e/W40bq1tStRgU0YolRB8fJGVuGmoZoAic0q4RbiolZbE-1781917339-1.2.1.1-oU3QXg7NRqbr3ZNTTMJLOXLFTKaL8J0lnr7bq4ognI0TFLg.Q_ES_myoqe.5aw2W → 200 (222ms, 18608B)
[2026-06-20T01:02:20.042Z] GET blob:https://cell.com/cf27f426-344f-4c9d-9bfe-aa98999c5eea → 200 (11ms, 291B)
[2026-06-20T01:02:20.049Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/7cqlq/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (189ms, ?B)
[2026-06-20T01:02:20.251Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → pending (?ms, ?B)
[2026-06-20T01:02:20.781Z] GET blob:https://challenges.cloudflare.com/38a08ea8-a2b6-44b4-ad2d-9601761f00cd → pending (?ms, ?B)
[2026-06-20T01:02:20.945Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d8f0eb64b8e7/WeZTgFT_snSUp_5E2FqdJksEIPiI6HpE9qXesO9gsuA-1781917340-1.2.1.1-jk0tyYV_rHZNcxdoyVPOnhgW2IUBoBmPIkR12yRgmrPWawd6K6XKFEX_DAWHytaA → 200 (284ms, ?B)
[2026-06-20T01:02:22.569Z] GET blob:https://challenges.cloudflare.com/6b79e5ec-54ed-403a-b64a-c013501aee7d → 200 (9ms, 291B)
[2026-06-20T01:02:22.898Z] GET blob:https://challenges.cloudflare.com/6b79e5ec-54ed-403a-b64a-c013501aee7d → 200 (7ms, 291B)
[2026-06-20T01:02:23.307Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a0e6d8f0eb64b8e7/1781917341203/OojZIWex7ErXxGK → pending (?ms, ?B)
[2026-06-20T01:02:23.492Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6d8f0eb64b8e7/1781917341203/da920bd970524dd6ab5e2c9753ef2faacdfc2f07f73677b117725f244b8de143/1L1CFS2AayHQOYx → 401 (170ms, 1B)
[2026-06-20T01:02:23.744Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d8f0eb64b8e7/WeZTgFT_snSUp_5E2FqdJksEIPiI6HpE9qXesO9gsuA-1781917340-1.2.1.1-jk0tyYV_rHZNcxdoyVPOnhgW2IUBoBmPIkR12yRgmrPWawd6K6XKFEX_DAWHytaA → 200 (423ms, 33656B)
[2026-06-20T01:02:24.199Z] GET blob:https://challenges.cloudflare.com/61b0fef8-ab53-43af-908f-a02002b07976 → 200 (5ms, 291B)
[2026-06-20T01:04:24.237Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d8e98bef053e/W40bq1tStRgU0YolRB8fJGVuGmoZoAic0q4RbiolZbE-1781917339-1.2.1.1-oU3QXg7NRqbr3ZNTTMJLOXLFTKaL8J0lnr7bq4ognI0TFLg.Q_ES_myoqe.5aw2W → pending (?ms, ?B)
[2026-06-20T01:04:24.439Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/b/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6d8e98bef053e/W40bq1tStRgU0YolRB8fJGVuGmoZoAic0q4RbiolZbE-1781917339-1.2.1.1-oU3QXg7NRqbr3ZNTTMJLOXLFTKaL8J0lnr7bq4ognI0TFLg.Q_ES_myoqe.5aw2W/managed → 200 (221ms, 2B)
[2026-06-20T01:04:32.439Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → 403 (169ms, 6940B)
[2026-06-20T01:04:32.834Z] GET https://cell.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0e6dc2c2ab0cf2b → pending (?ms, ?B)
[2026-06-20T01:04:35.973Z] GET blob:https://cell.com/7281dc65-40ca-47bf-9746-568d03f364d0 → pending (?ms, ?B)
[2026-06-20T01:04:35.990Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js?onload=NsqWi3&render=explicit → 200 (1ms, 67081B)
[2026-06-20T01:04:36.124Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6dc2c2ab0cf2b/G58uAxsIaeo4rVqsLf7DPgoKypTB5IMXIfbokwXdA7E-1781917472-1.2.1.1-vI69PR3XxgUaRBHl5dWExRTdmdGPW3Y17n.2jzf0.TCYH3oDZuIkofk7a5UTeGN8 → 200 (244ms, ?B)
[2026-06-20T01:04:37.264Z] GET blob:https://cell.com/0c01e0bd-6f5c-4b22-a5a6-98488e6d4c8f → 200 (10ms, 291B)
[2026-06-20T01:04:37.271Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/8stsr/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → pending (?ms, ?B)
[2026-06-20T01:04:37.468Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → 200 (632ms, 86B)
[2026-06-20T01:04:38.133Z] GET blob:https://challenges.cloudflare.com/38e52472-7d4b-4341-a0b6-b8f1b871f287 → pending (?ms, ?B)
[2026-06-20T01:04:38.292Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6dc4a58c97ae8/X80VMic5HF6fiNF0tz8SMASkd.H0r_kVtn53qCwjCuI-1781917477-1.2.1.1-Fp_x6sM4sq82toPYMEhTOkuraH_771VdZPYOTo80irUVmWyA4vt9iIXRUgEiptB1 → pending (?ms, ?B)
[2026-06-20T01:04:41.827Z] GET blob:https://challenges.cloudflare.com/29df790b-1599-4981-b38a-e5e0379b5393 → 200 (56ms, 291B)
[2026-06-20T01:04:42.253Z] GET blob:https://challenges.cloudflare.com/29df790b-1599-4981-b38a-e5e0379b5393 → 200 (5ms, 291B)
[2026-06-20T01:04:42.304Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6dc4a58c97ae8/1781917478528/fb4c93286f29c6bf8b24935552de47016480a36e6edfdae821d978fbd7b504ea/4fkQ4FKjbArnzED → pending (?ms, ?B)
[2026-06-20T01:04:42.936Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a0e6dc4a58c97ae8/1781917478528/ZZ54PGUsvWqTEZ2 → 200 (162ms, 8535B)
[2026-06-20T01:04:43.669Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6dc4a58c97ae8/X80VMic5HF6fiNF0tz8SMASkd.H0r_kVtn53qCwjCuI-1781917477-1.2.1.1-Fp_x6sM4sq82toPYMEhTOkuraH_771VdZPYOTo80irUVmWyA4vt9iIXRUgEiptB1 → 200 (404ms, ?B)
[2026-06-20T01:04:44.620Z] GET blob:https://challenges.cloudflare.com/61b79ed2-42a9-4848-9d55-161208c3a671 → 200 (8ms, 291B)
[2026-06-20T01:06:44.658Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6dc2c2ab0cf2b/G58uAxsIaeo4rVqsLf7DPgoKypTB5IMXIfbokwXdA7E-1781917472-1.2.1.1-vI69PR3XxgUaRBHl5dWExRTdmdGPW3Y17n.2jzf0.TCYH3oDZuIkofk7a5UTeGN8 → 400 (180ms, 121B)
[2026-06-20T01:06:44.846Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/b/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6dc2c2ab0cf2b/G58uAxsIaeo4rVqsLf7DPgoKypTB5IMXIfbokwXdA7E-1781917472-1.2.1.1-vI69PR3XxgUaRBHl5dWExRTdmdGPW3Y17n.2jzf0.TCYH3oDZuIkofk7a5UTeGN8/managed → 200 (176ms, 2B)
[2026-06-20T01:07:00.846Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → 403 (220ms, 6940B)
[2026-06-20T01:07:01.073Z] GET https://cell.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a0e6dfcc1bcb6af7 → pending (?ms, ?B)
[2026-06-20T01:07:01.631Z] GET blob:https://cell.com/86efe31c-d90b-43bc-b2ce-58c0586e4b8f → pending (?ms, ?B)
[2026-06-20T01:07:01.649Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js?onload=NsqWi3&render=explicit → 200 (1ms, 67081B)
[2026-06-20T01:07:01.789Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6dfcc1bcb6af7/GdCj7zaXgKN5yGjkszZW22kMDK5wTytXBAljz6huY0c-1781917621-1.2.1.1-5t3oxW0a36T30lKa4vymIawdqHdMKxI9lF7VYeuRBQSNdWcu60JRut3X.Ifo2eyl → 200 (184ms, 18608B)
[2026-06-20T01:07:01.981Z] GET blob:https://cell.com/00c2fce8-9d6b-46ca-b44f-f52fdb9ef650 → 200 (14ms, 291B)
[2026-06-20T01:07:01.988Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/xmdje/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → 200 (169ms, ?B)
[2026-06-20T01:07:02.169Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → pending (?ms, ?B)
[2026-06-20T01:07:02.636Z] GET blob:https://challenges.cloudflare.com/8491eaa0-4f43-421f-a157-8af3e8bbe88e → pending (?ms, ?B)
[2026-06-20T01:07:02.803Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6dfd2db1b7834/wwCp6In6qKwwyMgfK1SuNxzRnAkgzJ81Lx.2WzhzJDs-1781917622-1.2.1.1-8FGtTPWqb6WBlZYUx5xobHorcSx6pRFpxV9o06XwePewamYBq48XxAC0YaEr.VdG → 200 (260ms, ?B)
[2026-06-20T01:07:04.079Z] GET blob:https://challenges.cloudflare.com/8b92aafa-fcb8-4c2d-af71-1ddc1a8a12a6 → 200 (9ms, 291B)
[2026-06-20T01:07:04.299Z] GET blob:https://challenges.cloudflare.com/8b92aafa-fcb8-4c2d-af71-1ddc1a8a12a6 → 200 (7ms, 291B)
[2026-06-20T01:07:04.642Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a0e6dfd2db1b7834/1781917623037/rNL2YO_Qfd6kcAn → 200 (150ms, 328B)
[2026-06-20T01:07:04.845Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6dfd2db1b7834/1781917623037/ef8d746f398f2318d5cc0b36cc84a285e72bd3afe0fb722bace8e30236e2cb48/a63gVjg5ERdrSbk → 401 (151ms, 1B)
[2026-06-20T01:07:05.181Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6dfd2db1b7834/wwCp6In6qKwwyMgfK1SuNxzRnAkgzJ81Lx.2WzhzJDs-1781917622-1.2.1.1-8FGtTPWqb6WBlZYUx5xobHorcSx6pRFpxV9o06XwePewamYBq48XxAC0YaEr.VdG → pending (?ms, ?B)
[2026-06-20T01:07:05.560Z] GET blob:https://challenges.cloudflare.com/afda9f19-6e08-429f-940f-a9406d441e20 → 200 (6ms, 291B)
[2026-06-20T01:09:05.591Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/flow/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6dfcc1bcb6af7/GdCj7zaXgKN5yGjkszZW22kMDK5wTytXBAljz6huY0c-1781917621-1.2.1.1-5t3oxW0a36T30lKa4vymIawdqHdMKxI9lF7VYeuRBQSNdWcu60JRut3X.Ifo2eyl → 400 (259ms, 121B)
[2026-06-20T01:09:05.854Z] POST https://cell.com/cdn-cgi/challenge-platform/h/g/b/ov1/1337224512:1781913625:aQJvSHq1SpaajYQInfjPgJ1D8L_Uiz8qb4eslFF9Y0M/a0e6dfcc1bcb6af7/GdCj7zaXgKN5yGjkszZW22kMDK5wTytXBAljz6huY0c-1781917621-1.2.1.1-5t3oxW0a36T30lKa4vymIawdqHdMKxI9lF7VYeuRBQSNdWcu60JRut3X.Ifo2eyl/managed → 200 (182ms, 2B)
[2026-06-20T01:09:37.830Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → 403 (189ms, 6940B)
